budget_k,training_k,manager_prog,flexibility,cost_k,wtp_gain_k,roi
0,0,0,onsite,0,0,NA
0.5,0,0,hybrid,0.3,7.111683493875262,23.705611646250873
1,0,0,hybrid,0.3,7.111683493875262,23.705611646250873
2,0,1,hybrid,1.8,21.80880430286489,12.116002390480494
3,0,1,hybrid,1.8,21.80880430286489,12.116002390480494
4,2,1,hybrid,3.8,27.036332802418222,7.114824421689006
5,2,1,hybrid,3.8,27.036332802418222,7.114824421689006
6,2,1,hybrid,3.8,27.036332802418222,7.114824421689006
8,5,1,hybrid,6.8,34.87762555174822,5.1290625811394435
